objectid,originalfilename,filenmae,title,originaltitle,creator,callnumber,itemnumber,collectionname,repository,date,description,subject,damspace,damtime,submerged,location,latitude,longitude,sourcelink,format,type,language,personalnotes,outsideconnections,buy,relevance,informationsource,display_template,object_location,image_small,image_thumb
sediment15,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9410/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment15.jpg,"Sand bar, possible Crossing of the Fathers site",Crossing of the Fathers [This image appears in Tad's Glen Canyon book on page 134.].,"Nichols, Tad",NAU.PH.99.3.1.8.120,29808,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,"Possible Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ",sediment; land; humans; conquistadors,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9410/rec/134,image/jpeg,Image;StillImage,eng,,,,high,,image,/objects/sediment15.jpg,/objects/sediment15.jpg,/objects/sediment15.jpg
sediment16,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10181/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment16.jpg,Pedestal rock formation near Willow Creek,Table at head of Willow Creek.,"Nichols, Tad",NAU.PH.99.3.1.56.46,27802,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1971,"Table or pedestal rocks such as this one form when sandstone's lower layers erode more readily than its upper layers. Particulates in the lower strata may be cemented together less tightly. If the sandsone is composed of quartz sediment, it is likely to be more durable and erosion resistant; sandstone made of feldspar and clay tends to be less tightly bound. Pedestal rocks can also form as wind plucks sand from the ground and blasts the rock. Typically sand blasts are strongest at lower heights. ",sediment; land; strata,Above dam,Post-dam ,,Glen Canyon; Willow Creek; Escalante Canyon,37.322372,-111.0105,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10181/rec/146,image/jpeg,Image;StillImage,eng,sediment shows us in form what it is made of. sediment also carves itself,,,high,https://geoquest-nsew.blogspot.com/2011/10/hoodoos-mushroom-rocks-pedestal-rocks.html,image,/objects/sediment16.jpg,/objects/sediment16.jpg,/objects/sediment16.jpg
sediment17,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/18629/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment17.jpg,Forbidding Canyon,[Forbidding Canyon.],"Nichols, Tad",NAU.PH.99.3.1.13.36,17905,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,"""An adequate conception of the ruggedness of this particular region cannot be conveyed in words,"" wrote Earl Morris during his 1921 expedition into Forbidding Canyon. Morris had joined Charles L. Bernheimer's expedition to find an easier route between the main stem of the Colorado River and Rainbow Bridge, a natural arch which has captivated and drawn humans to it for millenia and is sacred for many Indigenous groups including the Navajo, Hopi, San Juan Southern Paiute, Kaibab Paiute, and White Mesa Ute. The group found little hope that Forbidding Canyon would make for an easier journey as it formed ""a maze of tortuous canons winding in and out among dumpling-like knobs of rock, too hopelessly rough to be crossed"" according to Morris. Eventually the group returned with dynamite to blast obstacles from their path. This trail became known as the Bernheimer trail. Forbidding Canyon flooded deep with water after Glen Canyon Dam was built, and it has now become the most visited tributary of Glen Canyon as 200,000-300,000 tourists motor boat through it to visit Rainbow Bridge. ",land; strata,Above dam,Pre-dam,submerged,Glen Canyon; Forbidding Canyon,37.10342821,-110.9713319,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/18629/rec/149,image/jpeg,Image;StillImage,eng,"here sediment carved a landscape that deeply affected how humans were able to move through space and which humans were able to access what. In this way, sediment created a defense-like maze to protects sacred sites like Rainbow Bridge. Now it is those very canyons that holds the water that allows for easy mobility of toursts. ","https://issuu.com/utah10/docs/uhq_volume55_1987_number2/s/153725, https://library.nau.edu/speccoll/exhibits/scaexhibits/hanks/camera-stations/forbidding-canyon/",,high,"https://issuu.com/utah10/docs/uhq_volume55_1987_number2/s/153725, https://en.wikipedia.org/wiki/Rainbow_Bridge_National_Monument",image,/objects/sediment17.jpg,/objects/sediment17.jpg,/objects/sediment17.jpg
sediment18,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9413/default.jpg,sediment18.jpg,Possible Crossing of the Fathers site,The Crossing of the Fathers [This photo appears as a background image in Tad's Glen Canyon book on page 136.].,"Nichols, Tad",NAU.PH.99.3.1.8.116,29764,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,"Possible Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ",sediment; land; humans; conquistadors,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9413/rec/150,image/jpeg,Image;StillImage,eng,,,,high,https://www.nps.gov/dino/learn/historyculture/the-dominguez-and-escalante-expedition.htm,image,/objects/sediment18.jpg,/objects/sediment18.jpg,/objects/sediment18.jpg
sediment19,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10369/default.jpg,sediment19.jpg,Building structure in Moqui Canyon,Moki Can. ruin - Undisturbed [Moqui Canyon].,"Nichols, Tad",NAU.PH.99.3.1.45.5,27709,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,"Ancestral Puebloans dwelt in and around Glen Canyon for thousands of generations, building thousands of dwelling structures up and down the Canyon and its tributaries. These dwellings were typically constructed with stone fragments, by mixing sediment with water and straw to make adobe, and by utlizing the land's natural topographical features such as acloves or mesa tops.  ","sediment; land; humans, dwellings; infrastructure; plants; water; strata",Above dam,Pre-dam,,"Glen Canyon, Moqui Canyon",37.48423216,-110.6409317,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10369/rec/154,image/jpeg,Image;StillImage,eng,"sediment formed people's homes--which when dissolved, returns back to the land. Also mixed with straw and water. ",,,high,https://www.britannica.com/technology/pueblo-architecture,image,/objects/sediment19.jpg,/objects/sediment19.jpg,/objects/sediment19.jpg
sediment20,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9602/default.jpg,sediment20.jpg,Construction of Glen Canyon Dam,[Looking down at construction below Glen Canyon Dam.],"Nichols, Tad",NAU.PH.99.3.1.21.83,23251,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,"The foundations of the Glen Canyon Dam were laid in the Colorado River's old bed. The river's water first had to be rerouted through temporary diversion tunnels, which took three years to dig. The diversion tunnels finished behind schedule as the soft sandstone continuously broke apart and collapsed into the tunnels. In 1958, for example, 5,200 cubic yards, or 500 dump trucks worth of sediment cleaved away in the left diversion tunnel. Much of the sand and rock used in Glen Canyon's concrete walls comes from Wahweep Canyon, which is a nearby tributary just five miles away from the dam site. ",infrastructure; dam; canyon,Dam,Dam,submerged,Glen Canyon; Glen Canyon Dam,36.937818,-111.48427,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9602/rec/161,image/jpeg,Image;StillImage,eng,dam is made of sediment,,,medium,"https://npshistory.com/publications/glca/brochures/1994d.pdf, https://en.wikipedia.org/wiki/Glen_Canyon_Dam",image,/objects/sediment20.jpg,/objects/sediment20.jpg,/objects/sediment20.jpg
sediment21,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13632/default.jpg,sediment21.jpg,Georgia O'Keeffe selecting stones on the shores of Lake Powell,[Georgia O'Keeffe selecting stones - Shore of Lake Powell.],"Nichols, Tad",NAU.PH.99.3.1.48.4,19596,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,"As Lake Powell began to fill, artist Georgia O'Keefe took several boat trips to visit the drowning canyon, accompanied by architect Frank Lloyd Wright. She spent her time in the canyon painting, taking photographs, and collecting natural objects. ",humans; sediment; strata; land,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13632/rec/177,image/jpeg,Image;StillImage,eng,,"Photographer Todd Webb also remembers O'Keeffe in Glen Canyon in his memoirs, particularly a trip in August of 1961 that also included photographer, Eliot Porter. Frank Lloyd Wright wrote about their trips in his autobiography as well. ",,medium,,image,/objects/sediment21.jpg,/objects/sediment21.jpg,/objects/sediment21.jpg
sediment22,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16706/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment22.jpg,Ripple Laminae in Cottonwood Canyon,"[Cottonwood Creek - Right bank, ripple laminae.]","Nichols, Tad",NAU.PH.99.3.1.9.129,20146,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,"Each layer of the sediment laminae was laid by a distinct geologic event--such as a spring flood which deposited a load of sediment all at once. The ripples forms are carved by water, and keep a record of the river's current. Ripples form as water erodes sediment on the upstream (stoss) side of a bank and quickly deposit it on the downstream (lee) side.  These scallop-shaped structures are called catenary ripples, which suggest a faster flow. Today there is no current in the bottom reaches of Cottonwood Canyon as it lies below Lake Powell.  ",sediment,Above dam,Pre-dam,submerged,Glen Canyon; Cottonwood Canyon,37.236153,-110.873481,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16706/rec/223,image/jpeg,Image;StillImage,eng,,,,high,https://geologyistheway.com/sedimentary/bedforms-ripple-marks-and-dunes/,image,/objects/sediment22.jpg,/objects/sediment22.jpg,/objects/sediment22.jpg
sediment23,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22852/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment23.jpg,Tapestry Wall in Glen Canyon,[Tapestry wall in Glen Canyon.],"Nichols, Tad",NAU.PH.99.3.1.18.12,23761,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,"The vertical stripes on this canyon wall are known as desert varnish, and is commonly found on sandstone, particularly on north and east-facing walls. The varnish is composed of a thin gloss of sediment, minerals, and microbes interacting with one another over long periods of time, and is encouraged by water seeps, which might account for the striping patterns seen here. It takes more than 1,000 years for the varnish to accumulate to the width of a human hair. Much about the formation of desert varnish is still a mystery--it is not fully understood why varnish forms in some conditions and not others. Indigenous artists often chose varnished surfaces to etch petroglyphs as the underlying sandstone constrasted with the darknened varnish. ",sediment; land; strata,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22852/rec/235,image/jpeg,Image;StillImage,eng,,,,,,image,/objects/sediment23.jpg,/objects/sediment23.jpg,/objects/sediment23.jpg
sediment24,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13637/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment24.jpg,Stones and grasses on the shores of Lake Powell,Stones and grasses on shore of Lake [Powell.],"Nichols, Tad",NAU.PH.99.3.1.48.6,19598,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,,sediment; land; plants,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13637/rec/239,image/jpeg,Image;StillImage,eng,,,,,,image,/objects/sediment24.jpg,/objects/sediment24.jpg,/objects/sediment24.jpg
sediment25,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22853/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment25.jpg,Balanced Rocks in Glen Canyon,"Balanced Rocks, Mile 64.4 - One tenth mile below Balanced Rocks Bar up on the cap.","Nichols, Tad",NAU.PH.99.3.1.18.13,23762,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,"Balanced rocks such as this one form when sandstone's lower layers erode more readily than its upper layers. Particulates in the lower strata may be cemented together less tightly. If the sandsone is composed of quartz sediment, it is likely to be more durable and erosion resistant; sandstone made of feldspar and clay tends to be less tightly bound. Pedestal rocks can also form as wind plucks sand from the ground and blasts the rock. Typically sand blasts are strongest at lower heights. ",sediment; land,Above dam,Pre-dam,,Glen Canyon; Balanced Rocks Bar,37.106279,-111.053393,,image/jpeg,Image;StillImage,eng,,,,,,image,/objects/sediment25.jpg,/objects/sediment25.jpg,/objects/sediment25.jpg
sediment26,,sediment26.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment26.jpg,/objects/sediment26.jpg,/objects/sediment26.jpg
sediment27,,sediment27.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment27.jpg,/objects/sediment27.jpg,/objects/sediment27.jpg
sediment28,,sediment28.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment28.jpg,/objects/sediment28.jpg,/objects/sediment28.jpg
sediment29,,sediment29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment29.jpg,/objects/sediment29.jpg,/objects/sediment29.jpg
sediment30,,sediment30.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment30.jpg,/objects/sediment30.jpg,/objects/sediment30.jpg
sediment31,,sediment31.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment31.jpg,/objects/sediment31.jpg,/objects/sediment31.jpg
sediment32,,sediment32.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment32.jpg,/objects/sediment32.jpg,/objects/sediment32.jpg
sediment33,,sediment33.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment33.jpg,/objects/sediment33.jpg,/objects/sediment33.jpg
sediment34,,sediment34.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment34.jpg,/objects/sediment34.jpg,/objects/sediment34.jpg
sediment35,,sediment35.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,image,/objects/sediment35.jpg,/objects/sediment35.jpg,/objects/sediment35.jpg